region,district,shortage_stations,wait_stations,lat,lon
서울,송파구,14,12,37.5146,127.1062
서울,성북구,7,0,37.5894,127.0167
서울,강남구,4,4,37.5172,127.0473
서울,광진구,3,2,37.5386,127.0824
서울,서초구,2,1,37.4837,127.0324
서울,동작구,1,0,37.5124,126.9393
서울,강서구,2,0,37.5510,126.8495
부산,중구,1,0,35.1064,129.0324
부산,북구,1,0,35.1972,129.0244
부산,금정구,1,0,35.2431,129.0922
대구,동구,1,0,35.8867,128.6353
대구,남구,1,0,35.8460,128.5973
대구,달서구,1,0,35.8298,128.5327
대구,달성군,1,0,35.7747,128.4311
인천,연수구,6,3,37.4101,126.6788
울산,북구,1,0,35.5827,129.3613
울산,남구,1,0,35.5431,129.3294
경남,창원시성산구,2,0,35.2149,128.6811
